run_id,err_diff,expl_mode,horizon,n_all,n_in_norew,n_in_regime,n_in_rew,n_out_norew,n_out_regime,n_out_rew,n_rewarded,n_unrewarded,nll_all,nll_in_norew,nll_in_regime,nll_in_rew,nll_out_norew,nll_out_regime,nll_out_rew,nll_rewarded,nll_unrewarded,reward_aware
ax1wm_cup_fq1s0_seed4,0.002102,apt,5,59760,9325,9325,0,38559,50435,11876,11876,47884,0.07273841022341875,0.07096400609341078,0.07096400609341078,,0.07958442155104989,0.07306648236602459,0.051904035663819216,0.051904035663819216,0.0779056692717398,0
ax1wm_cup_fq1s0_seed4,0.085473,apt,20,58860,9227,9227,0,37791,49633,11842,11842,47018,0.19452907254421165,0.12245490869245206,0.12245490869245206,,0.2397111506375392,0.20792798677184615,0.10649938132948791,0.10649938132948791,0.2167003176708601,0
ax1wm_cup_fq1s0_seed9,0.003496,apt,0,60060,9325,9325,0,38855,50735,11880,11880,48180,0.03793940953915819,0.03498659653238318,0.03498659653238318,,0.03875679518774426,0.03848213115713744,0.0375838086900307,0.0375838086900307,0.03802709194031292,0
ax1wm_cup_fq1s0_seed9,0.005602,apt,1,60000,9325,9325,0,38795,50675,11880,11880,48120,0.047602026870393305,0.04287055788381139,0.04287055788381139,,0.04871715557741982,0.04847269185904405,0.04767437788981943,0.04767437788981943,0.04758416464863972,0
ax1wm_cup_fq1s0_seed9,0.018036,apt,5,59760,9325,9325,0,38559,50435,11876,11876,47884,0.06785444895823142,0.05263311577270642,0.05263311577270642,,0.07363572852000515,0.07066874323710563,0.06103553462113035,0.06103553462113035,0.06954564908076531,0
ax1wm_cup_fq1s0_seed9,0.110995,apt,20,58860,9227,9227,0,37791,49633,11842,11842,47018,0.1912244699439675,0.09762962688956,0.09762962688956,,0.22845355023027858,0.2086241761245937,0.1453433218070848,0.1453433218070848,0.2027801413089121,0
ax1wm_cup_fq1s1_seed1,0.02564,apt,0,60060,9325,9325,0,38855,50735,11880,11880,48180,0.028015414399806083,0.0063565109435583375,0.0063565109435583375,,0.033678283901796446,0.03199628115312254,0.026495084452809018,0.026495084452809018,0.028390290277147828,0
ax1wm_cup_fq1s1_seed1,0.031981,apt,1,60000,9325,9325,0,38795,50675,11880,11880,48120,0.034901332071905974,0.00789053336209611,0.00789053336209611,,0.04149166713212486,0.03987174545067216,0.034581773932830635,0.034581773932830635,0.03498022547781234,0
ax1wm_cup_fq1s1_seed1,0.047828,apt,5,59760,9325,9325,0,38559,50435,11876,11876,47884,0.051276969733670144,0.010912036277467368,0.010912036277467368,,0.062868514176732,0.05874010058484673,0.045335966222308476,0.045335966222308476,0.05275043389081932,0
ax1wm_cup_fq1s1_seed1,0.13447,apt,20,58860,9227,9227,0,37791,49633,11842,11842,47018,0.1488478038138064,0.035457543732450664,0.035457543732450664,,0.19095934289506072,0.16992756787744692,0.1028095295654521,0.1028095295654521,0.1604430491166481,0
ax1wm_cup_fq1s1_seed10,0.015245,apt,0,60060,9325,9325,0,38855,50735,11880,11880,48180,0.018885264325275167,0.0060071152368192425,0.0060071152368192425,,0.021989701709585342,0.021252244521389317,0.01884030015713371,0.01884030015713371,0.018896351380433333,0
ax1wm_cup_fq1s1_seed10,0.020202,apt,1,60000,9325,9325,0,38795,50675,11880,11880,48120,0.024560464197431575,0.007498290144502376,0.007498290144502376,,0.02820447190715843,0.02770017358161638,0.026053350893114377,0.026053350893114377,0.02419189616034281,0
ax1wm_cup_fq1s1_seed10,0.036655,apt,5,59760,9325,9325,0,38559,50435,11876,11876,47884,0.04068458500091817,0.009748997681807986,0.009748997681807986,,0.049642766912346994,0.04640431042474492,0.03588968902819322,0.03588968902819322,0.0418737961063413,0
ax1wm_cup_fq1s1_seed10,0.12071,apt,20,58860,9227,9227,0,37791,49633,11842,11842,47018,0.1420184571762375,0.040230792702873615,0.040230792702873615,,0.17817504313047508,0.1609412460484743,0.10594357458031922,0.10594357458031922,0.15110431279963416,0
ax1wm_cup_fq1s1_seed11,0.015828,apt,0,60060,9325,9325,0,38855,50735,11880,11880,48180,0.027121302408613015,0.01375105316803303,0.01375105316803303,,0.03253043179131208,0.029578729710641367,0.019924825304542006,0.019924825304542006,0.02889577621509628,0
ax1wm_cup_fq1s1_seed11,0.0213,apt,1,60000,9325,9325,0,38795,50675,11880,11880,48120,0.0337530913852351,0.015763429600558,0.015763429600558,,0.0401987185180579,0.037063473154196405,0.026825102456300216,0.026825102456300216,0.03546349264200457,0
ax1wm_cup_fq1s1_seed11,0.038955,apt,5,59760,9325,9325,0,38559,50435,11876,11876,47884,0.05171279837417408,0.018836333913378224,0.018836333913378224,,0.06463953955731573,0.05779137537619492,0.03555675406768724,0.03555675406768724,0.05571975648510546,0
ax1wm_cup_fq1s1_seed11,0.126777,apt,20,58860,9227,9227,0,37791,49633,11842,11842,47018,0.1525111985168039,0.04560786393787343,0.04560786393787343,,0.19268085935130186,0.17238501368332196,0.10761552342503553,0.10761552342503553,0.16381866766557074,0
ax1wm_cup_fq1s1_seed12,0.016226,apt,0,60060,9325,9325,0,38855,50735,11880,11880,48180,0.018788236336534276,0.005081668224838286,0.005081668224838286,,0.022297581494770853,0.021307478430583063,0.01806922467982409,0.01806922467982409,0.01896552688202446,0
ax1wm_cup_fq1s1_seed12,0.021184,apt,1,60000,9325,9325,0,38795,50675,11880,11880,48120,0.02380282613480957,0.00591127875888433,0.00591127875888433,,0.02788336482308823,0.027095153303640408,0.024521191527800495,0.024521191527800495,0.023625474080180887,0
