seed,iters,converged,delta_profit,delta_price,fingerprint,punish_depth,recovered,coverage,coverage_late,punish_occupancy,undercut_rate,punish_occ_dist,ref_min_idx,punish_occ_dist_exo,exo_ref_idx,punish_label_jaccard,explore_mode,explore_mix
60,1600185,True,0.8220593699571501,0.6714285714285712,False,0.3409371428571426,False,1.0,0.6533333333333333,0.9833881707427579,0.4634482887916085,0.4293297337495352,6,0.9970372175717183,13,0.43275717389485635,uniform,1.0
61,2000000,False,0.9963996779886849,0.9714285714285696,True,0.5036571428571428,True,1.0,0.8933333333333333,0.8383065,0.410192,0.866082,12,0.996893,13,0.7895683755389006,uniform,1.0
62,1999014,True,0.6538476705410136,0.4571428571428581,True,0.11622857142857157,True,1.0,0.3288888888888889,0.547135737918794,0.24067415235711206,0.36782583813820213,6,0.9946938840848538,13,0.6654186034865034,uniform,1.0
63,1916590,True,0.8284095520538574,0.6285714285714292,True,0.03874285714285697,True,1.0,0.4222222222222222,0.5414799200663679,0.23703922069926275,0.46638195962621115,8,0.996651866074643,13,0.8400931259591469,uniform,1.0
64,1460482,True,0.9186575982896709,0.7541428571428562,False,0.31769142857142874,False,1.0,0.7466666666666667,0.6449514612299228,0.28217465192997926,0.11140226308848722,1,0.9960232306868554,13,0.1695349878720568,uniform,1.0
65,1709135,True,0.7639268769204762,0.6071428571428568,False,0.33318857142857117,False,1.0,0.7911111111111111,0.9901125423094138,0.4681122322110307,0.4643495101323184,5,0.9948652388488914,13,0.4653833978720783,uniform,1.0
66,1931824,True,0.8284095520538574,0.6285714285714292,True,0.15497142857142832,True,1.0,0.27111111111111114,0.5658936838966697,0.25162592451486265,0.479443779557558,8,0.9897552779135159,13,0.8082107881543591,uniform,1.0
67,1725386,True,0.9461408266197031,0.7999999999999979,False,0.0,True,1.0,0.6533333333333333,0.6041587215846194,0.2702548878917529,0.5755662790818982,10,0.9972377195595652,13,0.9166487758945384,uniform,1.0
68,1690021,True,0.7513402446139192,0.5642857142857144,False,0.2634514285714282,False,1.0,0.6444444444444445,0.9912533631238902,0.466740354113943,0.428579289843144,6,0.9943805432003507,13,0.42838595845826627,uniform,1.0
69,1789358,True,0.9868543032699116,1.0999999999999988,True,0.5036571428571424,True,1.0,0.5244444444444445,0.6423778807818223,0.2788407909428968,0.6295637876825096,14,0.6246290569019727,13,0.9595099070679659,uniform,1.0
70,2000000,False,0.9997323564418449,1.014285714285713,True,0.5036571428571428,True,1.0,0.3288888888888889,0.642797,0.2944205,0.662564,13,0.662564,13,0.89974036785102,uniform,1.0
71,1802284,True,0.607595767827333,0.41428571428571564,True,0.19371428571428573,True,1.0,0.29777777777777775,0.6522884295704784,0.299308544047442,0.526018097036871,6,0.9953320342409965,13,0.713794247171643,uniform,1.0
72,2000000,False,0.677556278258516,0.47857142857142954,True,0.25570285714285723,True,1.0,0.4,0.8526795,0.3899925,0.3877095,6,0.996959,13,0.45132025799657766,uniform,1.0
73,1765298,True,0.7068412986370184,0.5000000000000004,True,0.2712000000000001,True,1.0,0.27555555555555555,0.5317521460965797,0.2314821633514568,0.4356437270081312,7,0.9971523221575054,13,0.8117875220274715,uniform,1.0
74,1711961,True,0.9935372721535954,0.9928571428571416,False,0.4571657142857142,False,1.0,0.5466666666666666,0.9888911020753394,0.4552463519904951,0.6133089480426248,12,0.8058045714826447,13,0.6063332622766106,uniform,1.0
75,1990199,True,0.8795275982643429,0.757142857142857,False,0.41067428571428555,False,1.0,0.48,0.9800366696998641,0.47060972294730324,0.4129541819687378,7,0.9389734393394832,13,0.4155354449472097,uniform,1.0
