run_id,deter_std,err_diff,expl_mode,horizon,n_all,n_in_norew,n_in_regime,n_in_rew,n_out_norew,n_out_regime,n_out_rew,n_rewarded,n_unrewarded,nll_all,nll_in_norew,nll_in_regime,nll_in_rew,nll_out_norew,nll_out_regime,nll_out_rew,nll_rewarded,nll_unrewarded,rew_nll_all,rew_nll_in,rew_nll_out,reward_aware
ax1wm_finger_pepxq1ms1_seed6,0.17562993892264103,12.208215,task,1,120000,0,8714,8714,111286,111286,0,8714,111286,32.91549965302944,,21.593804514487456,21.593804514487456,33.802019533672606,33.802019533672606,,21.593804514487456,33.802019533672606,11.168209269725113,4.01091287181633,11.728645270761875,1
ax1wm_finger_pepxq1ms1_seed6,0.17562993892264103,13.075132,task,5,119520,0,8686,8686,110834,110834,0,8686,110834,36.305674810593864,,24.180765454735646,24.180765454735646,37.25589732954098,37.25589732954098,,24.180765454735646,37.25589732954098,11.263260814893652,4.032984135737212,11.829893646291534,1
ax1wm_finger_pepxq1ms1_seed6,0.17562993892264103,15.764667,task,20,117720,0,8560,8560,109160,109160,0,8560,109160,44.017280387633356,,29.398939689826744,29.398939689826744,45.163606847629914,45.163606847629914,,29.398939689826744,45.163606847629914,11.574155891829461,3.7510203127131283,12.1876227346037,1
ax1wm_finger_pepxq1ms1_seed7,0.16951472798680894,15.842385,task,0,120120,7,8721,8714,111399,111399,0,8714,111406,32.09202855067217,88.51876613071987,17.399839050520207,17.34270885892491,33.24222365682954,33.24222365682954,,17.34270885892491,33.2456968611212,8.601159529522764,4.1151390647603865,8.9523528478936,1
ax1wm_finger_pepxq1ms1_seed7,0.16951472798680894,16.344167,task,1,120000,0,8714,8714,111286,111286,0,8714,111286,33.42261061436335,,18.265302738848973,18.265302738848973,34.609469525881714,34.609469525881714,,18.265302738848973,34.609469525881714,8.645910192039997,4.267061224149569,8.988786114493829,1
ax1wm_finger_pepxq1ms1_seed7,0.16951472798680894,17.429924,task,5,119520,0,8686,8686,110834,110834,0,8686,110834,36.82803000675507,,20.664808429717578,20.664808429717578,38.09473284720247,38.09473284720247,,20.664808429717578,38.09473284720247,8.752800272908647,4.203054570805881,9.109361356767975,1
ax1wm_finger_pepxq1ms1_seed7,0.16951472798680894,19.542805,task,20,117720,0,8560,8560,109160,109160,0,8560,109160,45.09896790403474,,26.977216113783488,26.977216113783488,46.52002136065393,46.52002136065393,,26.977216113783488,46.52002136065393,8.920672570070334,4.017727355296924,9.305146837553481,1
ax1wm_finger_pepxq1ms1_seed8,0.1628795981031878,9.744199,task,0,120120,7,8721,8714,111399,111399,0,8714,111406,29.10257141605997,93.85049220493862,20.065824436930914,20.006552842442037,29.81002364099004,29.81002364099004,,20.006552842442037,29.81404751115814,11.940284963008704,2.983133042512062,12.64150599639905,1
ax1wm_finger_pepxq1ms1_seed8,0.1628795981031878,10.130773,task,1,120000,0,8714,8714,111286,111286,0,8714,111286,30.376195773625373,,20.9810860901216,20.9810860901216,31.111858712198526,31.111858712198526,,20.9810860901216,31.111858712198526,12.096453469989262,2.9962350122420265,12.809025614201557,1
ax1wm_finger_pepxq1ms1_seed8,0.1628795981031878,11.159,task,5,119520,0,8686,8686,110834,110834,0,8686,110834,33.95122037629087,,23.603190259507468,23.603190259507468,34.76218984048399,34.76218984048399,,23.603190259507468,34.76218984048399,12.238236074135084,2.9658412264015386,12.964908590216915,1
ax1wm_finger_pepxq1ms1_seed8,0.1628795981031878,14.911194,task,20,117720,0,8560,8560,109160,109160,0,8560,109160,42.27334589799407,,28.446418497356298,28.446418497356298,43.35761209943654,43.35761209943654,,28.446418497356298,43.35761209943654,12.555143694815866,2.700355626426846,13.327926636052673,1
